source_text,translated_text
Point of Sale,Point de vente
POS Profile,Profil point de vente
POS Opening Entry,Ouverture de caisse
POS Closing Entry,Clôture de caisse
Walk-in Customer,Client de passage
Mode of Payment,Mode de paiement
Payment Method,Mode de paiement
Warehouse,Entrepôt
Item Group,Groupe d'articles
Stock Entry,Entrée de stock
Has Variants,A des variantes
Item Attribute,Attribut d'article
Standard Selling Rate,Prix de vente standard
Opening Entry,Entrée d'ouverture
Closing Entry,Clôture
Grand Total,Total général
Add Items,Ajouter des articles
Checkout,Encaissement
New Invoice,Nouvelle facture
Customer,Client
Company,Société
